County, School District, Total Students, Free Eligible, RP Eligible, Paid Eligible, Total Free Breakfasts, Total RP Breakfasts, Total Paid Breakfasts, Total Free Lunches, Total RP Lunches, Total Paid Lunches, FRPM Eligible Percentage, FRPM Breakfast %, FRPM Lunch %, Total Breakfast Reimbursement, Total Lunch Reimbursement, Total Reimbursement, Lost FRPM Dollars, Lost Meals, FRPM Breakfast/Lunch
Santa Clara,Milpitas Unified,10260,2567,736,6957,151006,35402,110077,308179,88638,399801,32,33,72,443907.3068,1444476.3207,1888383.6275,545067.4039,500133,46
Santa Clara,Evergreen Elementary,11794,2734,662,8398,109165,18159,22073,349962,82674,386970,28,22,77,289609.7104,1564794.9156,1854404.626,778638.4652,670209,29
Santa Clara,Campbell Union High,7810,1242,232,6336,40478,5148,8482,88144,15146,25572,18,18,42,104354.0846,354043.999,458398.0836,132686.7544,74754,44
Santa Clara,Los Gatos Union Elementary,3263,66,8,3189,1561,529,22346,4714,1514,70156,2,16,50,11059.879,43063.7388,54123.6178,22950.6598,51948,33
San Mateo,Brisbane Elementary,464,96,15,353,1503,12,314,11436,1942,13001,23,7,68,3522.1165,48963.7038,52485.8203,29994.8373,24550,11
San Mateo,Belmont-Redwood Shores Elementary,4230,202,66,3962,0,0,0,27643,8794,102558,6,0,80,0.0,153445.4627,153445.4627,109709.9427,138995,0
San Mateo,Sequoia Union High,9911,2694,546,6671,155177,19576,18708,230934,33984,98959,32,31,47,395735.0463,920675.3978,1316410.4441,223363.4615,170416,65
Santa Clara,Palo Alto Unified,12287,898,278,11111,29192,7637,29466,79009,27350,290478,9,18,53,89749.0659,444388.7089,534137.7748,227411.043,330542,34
Santa Clara,Mountain View-Los Altos Union High,4101,530,109,3462,32914,4837,5219,43420,8255,38189,15,35,49,85647.7021,184980.3725,270628.0746,40103.0004,46894,73
Santa Clara,Morgan Hill Unified,9137,2883,454,5800,200846,24170,58589,261889,36861,110823,36,41,54,519873.5836,1038590.085,1558463.6686,178502.9114,125968,75
Santa Clara,Union Elementary,5751,470,84,5197,18177,5087,9633,46334,12857,111391,9,24,61,54009.2844,232171.9761,286181.2605,108628.9217,137685,39
Santa Clara,Cupertino Union,18598,622,168,17808,28412,4986,84555,70955,17612,748727,4,25,68,98741.7558,534304.4657,633046.2215,313895.7199,719341,37
San Mateo,San Mateo County Office of Education,293,134,8,151,6209,1246,19169,9177,2194,19335,48,31,48,22086.4405,44051.7341,66138.1746,8641.7036,4082,65
San Mateo,Portola Valley Elementary,627,32,21,574,0,0,0,4890,3253,20241,8,0,92,0.0,32919.9353,32919.9353,23354.9853,28384,0
San Mateo,La Honda-Pescadero Unified,318,130,38,150,10538,1087,1172,16069,3850,8743,52,42,73,26368.8175,69123.7849,95492.6024,20170.0174,15865,58
Santa Clara,Cambrian,3514,410,128,2976,20314,4779,21501,42889,13795,97885,15,28,63,61689.9303,218933.2564,280623.1867,91066.5161,107975,44
San Mateo,San Carlos Elementary,3516,143,26,3347,0,0,0,14445,3325,43699,4,0,63,0.0,73197.847,73197.847,51961.577,61469,0
