Camino Union Elementary,El Dorado,1003,288,16
Moreno Valley Unified,Riverside,65944,45443,8484
Desert Center Unified,Riverside,35,19,4
Gridley Unified,Butte,4001,1109,0
Hanford Joint Union High,Kings,7477,3734,780
Poway Unified,San Diego,71201,7747,2365
Centinela Valley Union High,Los Angeles,13685,8481,1768
Pioneer Union Elementary,Kings,3938,1454,403
Flournoy Union Elementary,Tehama,42,8,4
Alpaugh Unified,Tulare,1560,999,133
Weaver Union,Merced,5687,4277,572
Redwood City Elementary,San Mateo,17880,8118,2112
Alameda Unified,Alameda,22144,5351,941
Wilsona Elementary,Los Angeles,2610,2277,136
Madera Unified,Madera,41047,31461,4780
Culver City Unified,Los Angeles,13616,3217,943
Orchard Elementary,Santa Clara,1776,618,219
Corning Union Elementary,Tehama,4197,2985,508
Sonoma County Office of Education,Sonoma,1000,388,16
Central Unified,Fresno,31201,17994,2142
Acton-Agua Dulce Unified,Los Angeles,19204,5740,912
John Swett Unified,Contra Costa,3393,1914,411
Springville Union Elementary,Tulare,629,254,58
Cabrillo Unified,San Mateo,6474,2059,483
New Hope Elementary,San Joaquin,394,310,44
Castle Rock Union Elementary,Shasta,100,74,2
Paradise Unified,Butte,8420,4119,786
Fort Sage Unified,Lassen,469,183,58
Placentia-Yorba Linda Unified,Orange,50719,14319,2731
Richmond Elementary,Lassen,429,20,10
Fullerton Joint Union High,Orange,27481,9370,2333
Golden Feather Union Elementary,Butte,390,254,23
Mendocino Unified,Mendocino,1021,299,56
Sutter County Office of Education,Sutter,792,435,60
Campbell Union,Santa Clara,14838,5015,1147
Brittan Elementary,Sutter,921,360,92
San Rafael City Elementary,Marin,9472,5433,759
Centralia Elementary,Orange,8765,4675,651
SBE - Magnolia Science Academy Santa Ana,Orange,1263,870,134
Millbrae Elementary,San Mateo,4831,759,226
Lake Elementary,Glenn,338,96,26
Santa Rita Union Elementary,Monterey,6974,4192,330
Cucamonga Elementary,San Bernardino,4992,2973,669
Island Union Elementary,Kings,774,222,78
Horicon Elementary,Sonoma,116,86,22
Rosedale Union Elementary,Kern,11183,2412,571
Spencer Valley Elementary,San Diego,4452,1791,532
Westmorland Union Elementary,Imperial,757,651,56
Rio Dell Elementary,Humboldt,659,472,46
Imperial County Office of Education,Imperial,1195,706,71
Fallbrook Union Elementary,San Diego,9935,4780,1699
Palm Springs Unified,Riverside,45709,32877,5259
North County Joint Union Elementary,San Benito,1499,588,117
Greenfield Union Elementary,Monterey,7016,5401,793
Little Shasta Elementary,Siskiyou,22,12,0
Santa Clara Unified,Santa Clara,30536,8358,2564
Loma Prieta Joint Union Elementary,Santa Clara,1014,36,12
Redding Elementary,Shasta,6389,3147,621
Buena Vista Elementary,Tulare,416,211,56
Sebastopol Union Elementary,Sonoma,1845,516,153
Elk Grove Unified,Sacramento,124874,50025,15750
Huntington Beach Union High,Orange,31629,8257,1710
Mariposa County Unified,Mariposa,3639,1604,291
Oxnard,Ventura,33447,23984,3355
Palermo Union Elementary,Butte,2482,1779,163
Morgan Hill Unified,Santa Clara,18059,5710,903
Capistrano Unified,Orange,106315,19377,3704
San Mateo County Office of Education,San Mateo,530,258,13
Solvang Elementary,Santa Barbara,1174,371,220
Pleasant Ridge Union Elementary,Nevada,2344,456,139
Loleta Union Elementary,Humboldt,603,399,72
Fremont Unified,Alameda,69782,8940,2638
Soquel Union Elementary,Santa Cruz,3943,1010,315
Placerville Union Elementary,El Dorado,2565,1175,145
Ukiah Unified,Mendocino,12991,7421,1592
San Marino Unified,Los Angeles,6091,128,48
Soulsbyville Elementary,Tuolumne,984,351,76
Big Sur Unified,Monterey,217,78,16
Harmony Union Elementary,Sonoma,1345,361,160
Vallecito Union,Calaveras,1175,404,70
Hillsborough City Elementary,San Mateo,2955,10,0
Contra Costa County Office of Education,Contra Costa,9580,3439,934
El Monte City,Los Angeles,16841,13506,1557
Potter Valley Community Unified,Mendocino,540,288,74
Davis Joint Unified,Yolo,17054,3052,426
Lemoore Union High,Kings,4291,1464,457
Scott Valley Unified,Siskiyou,1302,611,142
Chawanakee Unified,Madera,2082,872,158
Gustine Unified,Merced,3754,2473,380
Lassen View Union Elementary,Tehama,592,247,74
San Lorenzo Valley Unified,Santa Cruz,9750,1298,332
Bennett Valley Union Elementary,Sonoma,2047,312,99
Paradise Elementary,Stanislaus,396,209,34
Waterford Unified,Stanislaus,7860,3439,779
Mountain Elementary,Santa Cruz,236,16,8
Browns Elementary,Sutter,302,135,20
Trinity Center Elementary,Trinity,28,18,0
Santa Cruz City Elementary,Santa Cruz,4380,1304,234
Planada Elementary,Merced,1603,1346,131
San Juan Unified,Sacramento,97201,40717,8034
Santa Cruz County Office of Education,Santa Cruz,2429,621,61
Oceanside Unified,San Diego,40864,17403,6338
Spreckels Union Elementary,Monterey,1932,228,32
Ramona City Unified,San Diego,10952,3402,905
Eureka City Schools,Humboldt,7460,4053,717
Hughes-Elizabeth Lakes Union Elementary,Los Angeles,399,82,0
Winton,Merced,3855,3126,381
Tulare Joint Union High,Tulare,10807,6849,928
Castaic Union,Los Angeles,4446,979,255
Richgrove Elementary,Tulare,1244,909,111
Solano County Office of Education,Solano,775,347,34
Nicasio,Marin,86,6,0
Kernville Union Elementary,Kern,1752,1201,149
Lemoore Union Elementary,Kings,6458,3385,697
Loomis Union Elementary,Placer,8324,914,355
Palo Verde Union Elementary,Tulare,1059,887,103
Thermalito Union,Butte,2965,2389,277
Maple Creek Elementary,Humboldt,23,19,0
Redlands Unified,San Bernardino,42330,20324,3579
Inglewood Unified,Los Angeles,24866,17580,2526
Red Bluff Union Elementary,Tehama,4095,2691,384
Hope Elementary,Tulare,2514,730,194
Delano Union Elementary,Kern,14701,9949,1899
Lindsay Unified,Tulare,8302,6888,457
Amador County Unified,Amador,7662,2728,616
Cajon Valley Union,San Diego,33590,21645,2257
West Covina Unified,Los Angeles,25311,12682,3506
Las Virgenes Unified,Los Angeles,22889,1406,373
Orcutt Union Elementary,Santa Barbara,10483,2942,946
Travis Unified,Solano,11037,1859,1163
Outside Creek Elementary,Tulare,220,162,14
Placer Hills Union Elementary,Placer,1435,355,70
Fresno Unified,Fresno,145101,95023,31791
Duarte Unified,Los Angeles,7340,4120,1138
Empire Union Elementary,Stanislaus,6010,3882,921
Sunol Glen Unified,Alameda,556,26,0
SBE - Audeo Charter II,San Diego,517,268,73
Fallbrook Union High,San Diego,4376,2095,388
Modesto City High,Stanislaus,30137,15687,3143
Glendora Unified,Los Angeles,14924,2934,935
Alta Loma Elementary,San Bernardino,11871,3200,902
Cottonwood Union Elementary,Shasta,2166,770,258
San Bruno Park Elementary,San Mateo,5303,1423,411
Montague Elementary,Siskiyou,349,162,9
Winship-Robbins,Sutter,1467,563,208
Tehachapi Unified,Kern,8680,2890,571
Snowline Joint Unified,San Bernardino,15158,8223,1797
Cutten Elementary,Humboldt,1228,339,122
West Side Union Elementary,Sonoma,347,75,16
Gorman Elementary,Los Angeles,4933,1232,530
Orick Elementary,Humboldt,28,22,0
Pasadena Unified,Los Angeles,36241,18083,3476
Acalanes Union High,Contra Costa,10882,225,131
Folsom-Cordova Unified,Sacramento,40276,10968,2159
Salinas Union High,Monterey,29567,16977,3419
Goleta Union Elementary,Santa Barbara,7111,1968,742
Covina-Valley Unified,Los Angeles,23561,12973,3196
Downey Unified,Los Angeles,44269,23217,7353
Blake Elementary,Kern,22,8,4
Fremont Union High,Santa Clara,21534,1832,616
Merced City Elementary,Merced,21626,15498,1991
Old Adobe Union,Sonoma,3846,1120,442
Ravenswood City Elementary,San Mateo,7656,6192,631
Lompoc Unified,Santa Barbara,20033,10271,2671
Roseville City Elementary,Placer,20907,4253,1323
Tahoe-Truckee Unified,Placer,8216,2425,504
Mendota Unified,Fresno,6589,6255,296
Exeter Unified,Tulare,5648,3178,434
Anderson Union High,Shasta,3560,1363,501
Stockton Unified,San Joaquin,81185,58555,6668
Fort Ross Elementary,Sonoma,48,34,2
Burlingame Elementary,San Mateo,6773,621,113
Waukena Joint Union Elementary,Tulare,478,382,46
San Dieguito Union High,San Diego,25604,1505,367
San Joaquin County Office of Education,San Joaquin,8261,4250,1078
Burbank Unified,Los Angeles,31740,8775,2301
Hamilton Unified,Glenn,1379,877,262
Saratoga Union Elementary,Santa Clara,3797,44,0
Nevada Joint Union High,Nevada,5594,1436,457
Klamath-Trinity Joint Unified,Humboldt,1995,1815,120
