CountyDesc,FnsReportDate,ProgramCode,ProgramGroupCode,Name,SiteName,MealTypeCode,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,ProgramGroupYear
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,COSTANO ELEMENTARY,NSLP_LUNCH,4273,55,402,4730,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,COSTANO ELEMENTARY,NSLP_SNACK_AREAELIGIBLE,1496,0,0,1496,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,GREEN OAKS ACADEMY,NSLP_BREAKFAST_SEVERENEED,375,28,10,413,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,GREEN OAKS ACADEMY,NSLP_LUNCH,367,28,18,413,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,GREEN OAKS ACADEMY,NSLP_SNACK_AREAELIGIBLE,136,0,0,136,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Los Robles-Ronald McNair Academy                                ,NSLP_BREAKFAST_SEVERENEED,3169,189,335,3693,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Los Robles-Ronald McNair Academy                                ,NSLP_LUNCH,3051,178,360,3589,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Los Robles-Ronald McNair Academy                                ,NSLP_SNACK_AREAELIGIBLE,1157,0,0,1157,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Ravenswood Child Development Center,NSLP_BREAKFAST_SEVERENEED,1366,267,378,2011,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Ravenswood Child Development Center,NSLP_LUNCH,1696,280,495,2471,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Ronald McNair Academy,NSLP_BREAKFAST_SEVERENEED,2185,355,356,2896,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Ronald McNair Academy,NSLP_LUNCH,2726,546,316,3588,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Ronald McNair Academy,NSLP_SNACK_AREAELIGIBLE,3824,0,0,3824,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Willow Oaks Elementary                                          ,NSLP_BREAKFAST_SEVERENEED,4973,355,660,5988,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Willow Oaks Elementary                                          ,NSLP_LUNCH,4789,401,553,5743,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Ravenswood City Elementary School District,Willow Oaks Elementary                                          ,NSLP_SNACK_AREAELIGIBLE,1294,0,0,1294,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,BAGBY ELEMENTARY,NSLP_BREAKFAST,250,86,452,788,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,BAGBY ELEMENTARY,NSLP_LUNCH,876,229,1615,2720,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,Fammatre Elementary                                             ,NSLP_BREAKFAST_SEVERENEED,284,78,313,675,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,Fammatre Elementary                                             ,NSLP_LUNCH,619,319,1347,2285,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,FARNHAM CHARTER,NSLP_BREAKFAST,243,31,316,590,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,FARNHAM CHARTER,NSLP_LUNCH,704,154,1484,2342,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,SARTORETTE CHARTER,NSLP_BREAKFAST_SEVERENEED,388,150,344,882,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,SARTORETTE CHARTER,NSLP_LUNCH,933,289,1361,2583,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,Steindorf STEAM K-8 Magnet,NSLP_BREAKFAST,43,6,270,319,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,Steindorf STEAM K-8 Magnet,NSLP_LUNCH,81,23,1387,1491,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,PRICE CHARTER MIDDLE,NSLP_BREAKFAST_SEVERENEED,529,100,538,1167,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Cambrian School District,PRICE CHARTER MIDDLE,NSLP_LUNCH,877,251,1632,2760,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Escuela Xochitl Tonatiul,Sunrise Middle,NSLP_BREAKFAST_SEVERENEED,1325,184,135,1644,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Escuela Xochitl Tonatiul,Sunrise Middle,NSLP_LUNCH,1348,199,179,1726,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Escuela Xochitl Tonatiul,Sunrise Middle,NSLP_SNACK_AREAELIGIBLE,1317,0,0,1317,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Sacred Heart Nativity School,Sacred Heart Nativity School,NSLP_BREAKFAST_SEVERENEED,985,520,277,1782,2018
SANTA CLARA,Jan 2018,NSLP,NSLP,Sacred Heart Nativity School,Sacred Heart Nativity School,NSLP_LUNCH,1015,546,284,1845,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Summit Public Schools,Everest Public High,NSLP_BREAKFAST_SEVERENEED,482,157,80,719,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Summit Public Schools,Everest Public High,NSLP_LUNCH,749,256,241,1246,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Summit Public Schools,Summit Public School K2,NSLP_BREAKFAST_SEVERENEED,887,186,217,1290,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Summit Public Schools,Summit Public School K2,NSLP_LUNCH,1133,394,483,2010,2018
SAN MATEO,Jan 2018,NSLP,NSLP,Summit Public Schools,Summit Public School: Rainier,NSLP_BREAKFAST_SEVERENEED,491,131,198,820,2018
